FID,1023Ratio,1024Ratio,1025Ratio,1026Ratio,1027Ratio,1028Ratio,1029Ratio,1030Ratio,1031Ratio,1101Ratio,
442,0.0000,0.0000,0.0074,0.0000,0.0222,0.0148,0.3113,0.3187,0.0074,0.0074,
443,0.0000,0.0000,0.0000,0.1013,0.0450,0.1013,0.3602,0.1463,0.0225,0.0225,
444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0396,0.0396,0.0396,0.0000,
445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122,0.0731,0.1096,0.0122,0.0000,
446,0.0000,0.0000,0.0000,0.0158,0.0000,0.1109,0.2219,0.1426,0.0634,0.0317,
447,0.0000,0.0000,0.0000,0.0000,0.0203,0.0608,0.5067,0.3851,0.0203,0.0203,
448,0.0000,0.0000,0.0000,0.0417,0.0417,0.0417,0.1251,0.0000,0.0000,0.0000,
449,0.0000,0.0000,0.0034,0.0168,0.0134,0.0908,0.3698,0.2420,0.0269,0.0605,
450,0.0000,0.0022,0.0000,0.0054,0.0065,0.0348,0.2970,0.2209,0.0163,0.0109,
451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0508,0.2032,0.0508,0.0000,0.0000,
452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0581,0.1163,0.0581,0.0000,0.0000,
453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0720,0.1621,0.1261,0.0000,0.0180,
454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0333,0.1831,0.1498,0.0166,0.0000,
455,0.0000,0.0000,0.0000,0.0000,0.0203,0.0609,0.2032,0.0609,0.0203,0.0203,
456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2068,0.0000,0.0000,
457,0.0000,0.0000,0.0000,0.0155,0.0155,0.0620,0.4650,0.1085,0.1085,0.0000,
458,0.0000,0.0000,0.0000,0.0000,0.0172,0.0086,0.0688,0.0172,0.0086,0.0086,
459,0.0004,0.0020,0.0012,0.0072,0.0256,0.2511,0.5310,0.6568,0.1936,0.1481,
460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0369,0.1108,0.0000,0.0000,0.0000,
461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0306,0.1835,0.1988,0.0306,0.0153,
462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0545,0.1634,0.0545,0.0000,0.0000,
463,0.0000,0.0000,0.0027,0.0000,0.0094,0.0309,0.2969,0.2244,0.0242,0.0242,
464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0597,0.1792,0.1195,0.0000,0.0000,
465,0.0007,0.0015,0.0052,0.0149,0.0321,0.1486,0.3524,0.1530,0.1045,0.1015,
466,0.0025,0.0088,0.0139,0.0536,0.1362,0.9673,2.2637,2.0588,0.7863,0.4925,
467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0462,0.1524,0.2033,0.0000,0.0000,
468,0.0553,0.0085,0.0000,0.0128,0.0085,0.0979,0.2725,0.1405,0.0085,0.0085,
469,0.0000,0.0000,0.0043,0.0043,0.0043,0.0921,0.3533,0.1906,0.0214,0.0107,
470,0.0000,0.0000,0.0093,0.0093,0.0093,0.0649,0.5003,0.1668,0.0185,0.0093,
471,0.0027,0.0000,0.0000,0.0188,0.0268,0.1314,0.3728,0.2387,0.0536,0.0590,
472,0.0000,0.0000,0.0000,0.0233,0.0000,0.0000,0.0466,0.0000,0.0000,0.0000,
473,0.0000,0.0000,0.0000,0.0082,0.0000,0.0573,0.1884,0.1556,0.0082,0.0082,
474,0.0000,0.0000,0.0161,0.0161,0.0161,0.0482,0.3373,0.1767,0.0161,0.0000,
475,0.0000,0.0000,0.0000,0.0100,0.0201,0.1103,0.2407,0.2608,0.1203,0.1304,
476,0.0004,0.0022,0.0045,0.0117,0.0305,0.3474,0.7576,0.4963,0.1556,0.0910,
477,0.0000,0.0063,0.0000,0.0063,0.0125,0.0188,0.1380,0.1066,0.0188,0.0063,
479,0.0000,0.0000,0.0000,0.0064,0.0257,0.0802,0.2695,0.1508,0.0642,0.0995,
480,0.0000,0.0000,0.0000,0.0089,0.0089,0.0447,0.1072,0.0804,0.0089,0.0179,
481,0.0000,0.0000,0.0000,0.0137,0.0319,0.0228,0.2413,0.1366,0.0137,0.0046,
482,0.0000,0.0000,0.0000,0.0000,0.0065,0.0323,0.0969,0.0969,0.0129,0.0129,
483,0.0000,0.0000,0.0000,0.0000,0.0305,0.0000,0.1527,0.0305,0.0000,0.0000,
484,0.0000,0.0000,0.1090,0.0545,0.0545,0.0000,0.0545,0.0545,0.0000,0.0000,
485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0284,0.0851,0.0000,0.0000,0.0000,
486,0.0000,0.0000,0.0000,0.0202,0.0000,0.0202,0.1313,0.0606,0.0101,0.0000,
487,0.0000,0.0033,0.0060,0.0100,0.0375,0.1540,0.4051,0.1580,0.0850,0.0556,
488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0645,0.1805,0.0774,0.0516,0.0387,
